,Location,acq_date,count,latitude,longitude,brightness,bright_t31,confidence
174,Richmond,14/12/2017,2,-19.86345,143.65435,325.54999999999995,304.4,76.0
175,Richmond,16/11/2017,1,-19.815,142.547,351.6,307.2,89.0
176,Richmond,16/12/2015,1,-19.6496,142.5553,341.6,301.3,76.0
177,Richmond,16/12/2016,1,-19.474,143.0969,319.0,292.4,46.0
178,Richmond,17/03/2017,1,-19.909000000000002,142.6081,321.5,301.7,64.0
179,Richmond,17/12/2017,2,-19.549599999999998,143.6858,331.3,309.05,57.5
180,Richmond,18/01/2017,1,-20.9294,143.1353,313.6,291.0,21.0
181,Richmond,18/12/2017,1,-19.5859,143.392,336.5,318.5,60.0
182,Richmond,19/12/2017,1,-20.6604,143.1977,322.3,299.8,100.0
183,Richmond,2/01/2017,1,-20.2374,142.2917,338.2,312.4,46.0
184,Richmond,2/04/2016,1,-20.0582,142.5618,330.5,307.5,75.0
185,Richmond,20/11/2017,2,-20.24705,143.1361,311.25,294.7,36.5
186,Richmond,22/10/2017,1,-19.809,143.637,333.6,300.5,81.0
187,Richmond,22/11/2017,2,-19.97765,142.95595,313.25,291.0,47.0
188,Richmond,22/12/2017,3,-19.578833333333332,142.48113333333333,347.23333333333335,310.4,89.0
189,Richmond,23/10/2015,1,-20.669,143.2881,345.6,321.4,87.0
190,Richmond,23/11/2017,2,-20.11975,143.04924999999997,348.95000000000005,305.1,48.0
191,Richmond,24/11/2015,1,-19.7647,142.5941,323.7,297.0,100.0
192,Richmond,25/11/2015,2,-19.9809,143.24315,334.4,307.1,72.0
193,Richmond,25/11/2017,1,-20.3203,143.0423,346.5,319.6,77.0
194,Richmond,25/12/2015,1,-20.0829,143.246,348.8,304.4,93.0
195,Richmond,26/11/2015,5,-19.91626,142.91680000000002,318.53999999999996,300.24,77.8
196,Richmond,26/12/2015,2,-20.41835,142.89425,337.04999999999995,298.6,63.0
197,Richmond,27/11/2015,1,-19.7068,142.6777,328.1,297.0,62.0
198,Richmond,28/11/2017,2,-20.1264,142.97095000000002,317.35,292.8,65.0
199,Richmond,29/01/2016,1,-20.5006,142.8296,324.4,297.2,30.0
200,Richmond,29/11/2017,4,-19.74915,142.9215,322.625,298.125,75.0
201,Richmond,3/03/2016,2,-20.57185,142.54809999999998,336.3,309.95000000000005,74.0
202,Richmond,3/12/2015,1,-20.6897,143.1243,311.6,296.9,81.0
203,Richmond,3/12/2016,2,-19.7912,142.14600000000002,335.45000000000005,310.95000000000005,78.5
204,Richmond,30/10/2015,1,-19.7491,142.7921,312.0,279.4,44.0
