,latitude,longitude,latlong,city
15825,-22.3354,129.1839,"-22.0, 129.0",Shire Of East Pilbara
15843,-41.5485,147.9923,"-42.0, 148.0",Glamorgan-Spring Bay
15877,-18.9684,132.4966,"-19.0, 132.0",Northern Territory
15995,-31.0929,119.3957,"-31.0, 119.0",Shire Of Yilgarn
16015,-37.6615,148.6608,"-38.0, 149.0",
16129,-33.2618,142.2368,"-33.0, 142.0",Wentworth Shire Council
16269,-15.4622,129.8968,"-15.0, 130.0",Northern Territory
16277,-12.0954,134.8931,"-12.0, 135.0",Northern Territory
16395,-16.3762,137.6333,"-16.0, 138.0",
16503,-38.5504,142.7979,"-39.0, 143.0",
16504,-41.8224,145.1579,"-42.0, 145.0",
16512,-42.9795,145.7694,"-43.0, 146.0",Derwent Valley
16513,-42.1465,146.1724,"-42.0, 146.0",Central Highlands
16665,-21.598000000000003,124.2158,"-22.0, 124.0",Shire Of East Pilbara
16827,-16.5208,124.8584,"-17.0, 125.0",Shire Of Derby-West Kimberley
16833,-15.6319,130.4243,"-16.0, 130.0",Northern Territory
16985,-15.6088,131.014,"-16.0, 131.0",Northern Territory
17181,-19.4485,124.0671,"-19.0, 124.0",Shire Of Derby-West Kimberley
17224,-16.3535,141.7106,"-16.0, 142.0",Carpentaria Shire
17375,-19.6041,122.5661,"-20.0, 123.0",Shire Of East Pilbara
17557,-30.359,117.5735,"-30.0, 118.0",Shire Of Mount Marshall
17648,-20.5677,145.5316,"-21.0, 146.0",Charters Towers Regional
17702,-18.0483,125.3599,"-18.0, 125.0",Shire Of Derby-West Kimberley
17746,-15.0662,131.387,"-15.0, 131.0",Northern Territory
17751,-16.4732,127.9728,"-16.0, 128.0",Shire Of Wyndham-East Kimberley
18722,-20.6497,141.7454,"-21.0, 142.0",Mckinlay Shire
19882,-21.0178,132.3815,"-21.0, 132.0",Northern Territory
20063,-17.3349,126.4256,"-17.0, 126.0",
20096,-17.494,126.8841,"-17.0, 127.0",Shire Of Wyndham-East Kimberley
20099,-17.1756,132.3946,"-17.0, 132.0",Northern Territory
20247,-33.6187,122.7695,"-34.0, 123.0",Shire Of Esperance
20443,-34.0691,145.4821,"-34.0, 145.0",
20890,-34.4199,141.4793,"-34.0, 141.0",
20942,-33.3871,138.506,"-33.0, 139.0",Ucolta
